07-06-2018 18:00:59.577 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - getDir  Method Start
07-06-2018 18:00:59.598 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - Directory for load is C:/Output/Load
07-06-2018 18:00:59.598 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - getDir  Method End
07-06-2018 18:00:59.958 [pool-2-thread-1] DEBUG com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - fetchAllPackagesFromDB  Method End
07-06-2018 18:00:59.958 [pool-2-thread-1] DEBUG com.auto.env.service.ApplicationScheduler.fetchAllPackagesFromDB - Fetch Details for latest Environment
07-06-2018 18:00:59.964 [pool-2-thread-1] DEBUG com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - fetchAllPackagesFromDB for environment latest  Method Start
07-06-2018 18:01:09.973 [pool-2-thread-1] INFO  com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - Query Result ->> [
[PBL_DATE=2018-06-07 00:49:57.0, GT_CODE=K366B, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:56.0, GT_CODE=J968P, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:55.0, GT_CODE=J779D, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:54.0, GT_CODE=J638O, ACTION=UPDATE, CHANNEL=DRC RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:54.0, GT_CODE=J676D, ACTION=UPDATE, CHANNEL=HI-INET RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:53.0, GT_CODE=J586I, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:53.0, GT_CODE=J456F, ACTION=UPDATE, CHANNEL=OL OGB, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:52.0, GT_CODE=J526J, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:52.0, GT_CODE=J432B, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:50.0, GT_CODE=J374D, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:49.0, GT_CODE=I855U, ACTION=UPDATE, CHANNEL=OL RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:49.0, GT_CODE=I983M, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:48.0, GT_CODE=I796S, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:48.0, GT_CODE=I625F, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:47.0, GT_CODE=I598E, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:47.0, GT_CODE=I655Z, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:45.0, GT_CODE=I444Y, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:45.0, GT_CODE=I546V, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:44.0, GT_CODE=I346O, ACTION=UPDATE, CHANNEL=HIINETTARO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:43.0, GT_CODE=H938H, ACTION=UPDATE, CHANNEL=HIINETCSTR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:43.0, GT_CODE=H855A, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:43.0, GT_CODE=H835Y, ACTION=REJECTED, CHANNEL=OL SHADES, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:41.0, GT_CODE=H667F, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:41.0, GT_CODE=H782F, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:41.0, GT_CODE=H643J, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:39.0, GT_CODE=H466U, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:39.0, GT_CODE=H556I, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:38.0, GT_CODE=H432R, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:37.0, GT_CODE=H336N, ACTION=REJECTED, CHANNEL=DVC EXRCI, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:37.0, GT_CODE=G855O, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:36.0, GT_CODE=H239I, ACTION=UPDATE, CHANNEL=CAST, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:35.0, GT_CODE=G498H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:35.0, GT_CODE=G776P, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:49:34.0, GT_CODE=G454I, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
